gwcode,abbrev,name,valid_from,valid_to,list
781,MAD,Maldives,1965-05-26,,
790,NEP,Nepal,1816-01-01,,
800,THI,Thailand,1816-01-01,,
811,CAM,Cambodia (Kampuchea),1953-11-09,,
812,LAO,Laos,1954-05-01,,
815,VNM,Vietnam (Annam/Cochin China/Tonkin),1816-01-01,1893-01-01,
816,DRV,"Vietnam, Democratic Republic of",1954-05-01,,
817,RVN,"Vietnam, Republic of",1954-05-01,1975-04-30,
820,MAL,Malaysia,1957-08-31,,
830,SIN,Singapore,1965-08-09,,
835,BRU,Brunei,1984-01-01,,
840,PHI,Philippines,1946-07-04,,
850,INS,Indonesia,1945-08-17,,
860,ETM,East Timor,2002-05-20,,
900,AUL,Australia,1901-01-01,,
910,PNG,Papua New Guinea,1975-09-16,,
920,NEW,New Zealand,1907-09-01,,
940,SOL,Solomon Islands,1978-07-07,,
950,FJI,Fiji,1970-10-10,,
54,DMA,Dominica,1978-11-03,,microstate
55,GRN,Grenada,1974-02-07,,microstate
56,SLU,Saint Lucia,1979-02-22,,microstate
57,SVG,Saint Vincent and the Grenadines,1979-10-27,,microstate
58,AAB,Antigua & Barbuda,1981-11-01,,microstate
60,SKN,Saint Kitts and Nevis,1983-09-19,,microstate
221,MNC,Monaco,1816-01-01,,microstate
223,LIE,Liechtenstein,1816-01-01,,microstate
331,SNM,San Marino,1816-01-01,,microstate
232,AND,Andorra,1816-01-01,,microstate
396,ABK,Abkhazia,2008-08-26,,microstate
397,SOT,South Ossetia,2008-08-26,,microstate
403,STP,São Tomé and Principe,1975-07-12,,microstate
591,SEY,Seychelles,1976-06-29,,microstate
935,VAN,Vanuatu,1980-06-30,,microstate
970,KBI,Kiribati,1979-07-12,,microstate
971,NAU,Nauru,1968-12-31,,microstate
972,TON,Tonga,1970-06-04,,microstate
973,TUV,Tuvalu,1978-10-01,,microstate
983,MSI,Marshall Islands,1986-10-21,,microstate
986,PAL,Palau,1994-10-01,,microstate
987,FSM,Federated States of Micronesia,1986-11-03,,microstate
990,WSM,Samoa/Western Samoa,1962-01-01,,microstate
